ID,Level of Student,Graduate Level of Student,Total Men,Total Women,American Indian Alaskan Men,American Indian Alaskan Women,Asian Men,Asian Women,African American Men,African American Women,Hispanic Men,Hispanic Women,Hawaiian or Pacific Islander Men,Hawaiian or Pacific Islander Women,White Men,White Women,Mixed Race Men,Mixed Race Women,Unknown Race Men,Unknown Race Women,Non-Resident Alien Men,Non-Resident Alien Women
216764,12,4,1177,2559,3,3,51,75,154,365,49,122,0,2,840,1851,27,52,37,53,16,36
216764,19,2,613,928,4,4,27,35,77,182,17,49,1,1,461,609,16,33,7,12,3,3
216764,20,2,4477,6521,7,10,113,168,469,806,239,415,5,1,3360,4743,182,229,92,127,10,22
216764,22,2,5396,8146,14,19,144,210,535,926,270,525,7,2,4098,6015,206,280,111,144,11,25
216764,23,2,5388,8138,14,19,144,208,535,924,270,525,7,2,4090,6012,206,280,111,143,11,25
216764,24,2,1078,1723,3,5,30,45,85,167,60,123,1,0,823,1298,45,57,30,26,1,2
216764,25,2,4310,6415,11,14,114,163,450,757,210,402,6,2,3267,4714,161,223,81,117,10,23
216764,31,2,8,8,0,0,0,2,0,2,0,0,0,0,8,3,0,0,0,1,0,0
216764,39,2,520,682,4,4,22,21,58,114,15,37,1,1,397,474,15,21,5,7,3,3
216764,40,2,3790,5733,7,10,92,142,392,643,195,365,5,1,2870,4240,146,202,76,110,7,20
216764,42,2,1062,1427,0,1,42,68,109,259,59,83,0,0,770,919,47,54,32,41,3,2
216764,43,2,803,1048,0,1,26,40,98,234,47,63,0,0,570,645,39,40,20,23,3,2
216764,44,2,23,14,0,1,0,0,2,3,1,1,0,0,16,7,2,1,2,1,0,0
216764,45,2,780,1034,0,0,26,40,96,231,46,62,0,0,554,638,37,39,18,22,3,2
216764,51,2,259,379,0,0,16,28,11,25,12,20,0,0,200,274,8,14,12,18,0,0
216764,59,2,93,246,0,0,5,14,19,68,2,12,0,0,64,135,1,12,2,5,0,0
216764,60,2,687,788,0,0,21,26,77,163,44,50,0,0,490,503,36,27,16,17,3,2
216773,1,1,25,111,0,0,1,1,1,9,0,3,0,0,23,90,0,6,0,2,0,0
216773,2,2,25,111,0,0,1,1,1,9,0,3,0,0,23,90,0,6,0,2,0,0
216773,3,2,25,111,0,0,1,1,1,9,0,3,0,0,23,90,0,6,0,2,0,0
216773,4,2,1,20,0,0,0,0,0,0,0,1,0,0,1,19,0,0,0,0,0,0
216773,5,2,24,91,0,0,1,1,1,9,0,2,0,0,22,71,0,6,0,2,0,0
216773,20,2,24,91,0,0,1,1,1,9,0,2,0,0,22,71,0,6,0,2,0,0
216773,22,2,25,111,0,0,1,1,1,9,0,3,0,0,23,90,0,6,0,2,0,0
216773,23,2,25,111,0,0,1,1,1,9,0,3,0,0,23,90,0,6,0,2,0,0
216773,24,2,1,20,0,0,0,0,0,0,0,1,0,0,1,19,0,0,0,0,0,0
216773,25,2,24,91,0,0,1,1,1,9,0,2,0,0,22,71,0,6,0,2,0,0
216773,40,2,24,91,0,0,1,1,1,9,0,2,0,0,22,71,0,6,0,2,0,0
216782,1,1,32,352,1,2,2,5,15,123,2,5,0,0,8,204,3,9,0,3,1,1
216782,2,2,32,352,1,2,2,5,15,123,2,5,0,0,8,204,3,9,0,3,1,1
216782,3,2,29,301,1,2,2,5,15,89,1,5,0,0,6,190,3,7,0,2,1,1
216782,4,2,15,159,0,2,2,1,7,49,0,3,0,0,3,98,2,4,0,1,1,1
216782,5,2,14,142,1,0,0,4,8,40,1,2,0,0,3,92,1,3,0,1,0,0
216782,11,2,3,51,0,0,0,0,0,34,1,0,0,0,2,14,0,2,0,1,0,0
216782,19,2,0,22,0,0,0,1,0,7,0,0,0,0,0,13,0,1,0,0,0,0
216782,20,2,14,120,1,0,0,3,8,33,1,2,0,0,3,79,1,2,0,1,0,0
216782,22,2,11,140,0,1,1,3,6,40,1,2,0,0,2,86,1,5,0,2,0,1
216782,23,2,9,126,0,1,1,3,6,31,1,2,0,0,0,82,1,4,0,2,0,1
216782,24,2,5,75,0,1,1,0,3,21,0,2,0,0,0,47,1,2,0,1,0,1
216782,25,2,4,51,0,0,0,3,3,10,1,0,0,0,0,35,0,2,0,1,0,0
216782,31,2,2,14,0,0,0,0,0,9,0,0,0,0,2,4,0,1,0,0,0,0
216782,39,2,0,10,0,0,0,1,0,3,0,0,0,0,0,5,0,1,0,0,0,0
216782,40,2,4,41,0,0,0,2,3,7,1,0,0,0,0,30,0,1,0,1,0,0
216782,42,2,21,212,1,1,1,2,9,83,1,3,0,0,6,118,2,4,0,1,1,0
216782,43,2,20,175,1,1,1,2,9,58,0,3,0,0,6,108,2,3,0,0,1,0
216782,44,2,10,84,0,1,1,1,4,28,0,1,0,0,3,51,1,2,0,0,1,0
216782,45,2,10,91,1,0,0,1,5,30,0,2,0,0,3,57,1,1,0,0,0,0
216782,51,2,1,37,0,0,0,0,0,25,1,0,0,0,0,10,0,1,0,1,0,0
216782,59,2,0,12,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0
216782,60,2,10,79,1,0,0,1,5,26,0,2,0,0,3,49,1,1,0,0,0,0
216807,1,1,596,741,6,4,0,3,44,18,11,6,2,2,413,560,4,7,115,140,1,1
216807,2,2,560,675,6,3,0,3,42,17,10,6,2,2,394,530,3,7,102,106,1,1
216807,3,2,544,659,6,3,0,3,42,17,10,5,2,2,389,521,3,7,91,100,1,1
216807,4,2,134,169,0,1,0,1,14,7,3,3,0,0,98,140,2,0,17,17,0,0
216807,5,2,410,490,6,2,0,2,28,10,7,2,2,2,291,381,1,7,74,83,1,1
216807,11,2,16,16,0,0,0,0,0,0,0,1,0,0,5,9,0,0,11,6,0,0
216807,12,4,36,66,0,1,0,0,2,1,1,0,0,0,19,30,1,0,13,34,0,0
